Journal,Name,Role,Gender,Country,Year of PhD,Anglophone Country,,,,,,,,,,,,,,,,,,,
JTG,Mark Zuidgeest,Associate Editor,Male,South Africa,2005,No,,,,,,,,,,,,,,,,,,,
IJGIS,Patrick Laube ,Board,Male,Switzerland,2005,No,,,,,,,,,,,,,,,,,,,
JTG,Helena Titheridge,Board,Female,UK,2005,Yes,,,,,,,,,,,,,,,,,,,
PSP,Jamie Goodwin-White,Board,Female,UK,2005,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Eric Delmelle,Board,Male,USA,2005,Yes,,,,,,,,,,,,,,,,,,,
EPB,Moira Zellner,Board,Female,USA,2005,Yes,,,,,,,,,,,,,,,,,,,
GA,Trisalyn Nelson,Board,Female,USA,2005,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Trisalyn Nelson,Board,Female,USA,2005,Yes,,,,,,,,,,,,,,,,,,,
JGS,Eric Delmelle,Board,Male,USA,2005,Yes,,,,,,,,,,,,,,,,,,,
JGS,Olivier Parent,Board,Male,USA,2005,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Marcus Foth,Board,Male,Australia,2006,Yes,,,,,,,,,,,,,,,,,,,
JTG,Ben Derudder,Board,Male,Belgium,2006,No,,,,,,,,,,,,,,,,,,,
JTG,Adolf Ng,Board,Male,Canada,2006,Yes,,,,,,,,,,,,,,,,,,,
JTG,Maria Attard,Board,Female,Malta,2006,No,,,,,,,,,,,,,,,,,,,
IJGIS,Arzu Coltekin,Board,Female,Switzerland,2006,No,,,,,,,,,,,,,,,,,,,
IJGIS,Urska Demsar,Associate Editor,Female,UK,2006,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Alasdair Rae,Board,Male,UK,2006,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Urska Demsar,Board,Female,UK,2006,Yes,,,,,,,,,,,,,,,,,,,
JTG,Deborah Salon,Board,Female,USA,2006,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Martin Tomko,Board,Male,Australia,2007,Yes,,,,,,,,,,,,,,,,,,,
JTG,Frédéric Dobruszkes,Board,Male,Belgium,2007,No,,,,,,,,,,,,,,,,,,,
CEUS,Xia Li,Board,Male,China,2007,No,,,,,,,,,,,,,,,,,,,
IJGIS,Maike Buchin,Board,Female,Germany,2007,No,,,,,,,,,,,,,,,,,,,
JTG,Brian Caulfield,Board,Male,Ireland,2007,Yes,,,,,,,,,,,,,,,,,,,
CEUS,John Östh,Board,Male,Sweden,2007,No,,,,,,,,,,,,,,,,,,,
CEUS,Alex Singleton,Board,Male,UK,2007,Yes,,,,,,,,,,,,,,,,,,,
EPB,Alasdair Rae,Board,Male,UK,2007,Yes,,,,,,,,,,,,,,,,,,,
GA,Alex Singleton,Board,Male,UK,2007,Yes,,,,,,,,,,,,,,,,,,,
JTG,Lucy Budd,Board,Female,UK,2007,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Andrew Crooks,Board,Male,USA,2007,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Daoqin Tong,Associate Editor,Female,USA,2007,Yes,,,,,,,,,,,,,,,,,,,
GA,Andrew Crooks,Board,Male,USA,2007,Yes,,,,,,,,,,,,,,,,,,,
GA,Christopher Fowler,Board,Male,USA,2007,Yes,,,,,,,,,,,,,,,,,,,
GA,Daoqin Tong,Board,Female,USA,2007,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Andrew Crooks,Board,Male,USA,2007,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Jared Aldstadt,Board,Male,USA,2007,Yes,,,,,,,,,,,,,,,,,,,
PSP,Stefanie Kley,Board,Female,Germany,2008,No,,,,,,,,,,,,,,,,,,,
CEUS,Eric Koomen,Board,Male,Netherlands,2008,No,,,,,,,,,,,,,,,,,,,
PSP,Ajay Bailey,Board,Male,Netherlands,2008,No,,,,,,,,,,,,,,,,,,,
CEUS,Arika Ligmann-Zielinska,Board,Female,USA,2008,Yes,,,,,,,,,,,,,,,,,,,
GA,Seth Spielman,Board,Male,USA,2008,Yes,,,,,,,,,,,,,,,,,,,
JGS,Julia Koschinsky,Board,Female,USA,2008,Yes,,,,,,,,,,,,,,,,,,,
JTG,Pengjun Zhao,Board,Male,China,2009,No,,,,,,,,,,,,,,,,,,,
JTG,Simon Blainey,Board,Male,UK,2009,Yes,,,,,,,,,,,,,,,,,,,
JTG,Liton Kamruzzaman,Board,Male,Australia,2010,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Flávia da Fonseca Feitosa,Board,Female,Brazil,2010,No,,,,,,,,,,,,,,,,,,,
GA,Steven Farber,Board,Male,Canada,2010,Yes,,,,,,,,,,,,,,,,,,,
JTG,Steven Farber,Board,Male,Canada,2010,Yes,,,,,,,,,,,,,,,,,,,
JTG,Veronique Van Acker,Board,Female,Luxembourg,2010,No,,,,,,,,,,,,,,,,,,,
CEUS,Kai Cao,Board,Male,Singapore,2010,No,,,,,,,,,,,,,,,,,,,
PSP,Karen Haandrikman,Board,Female,Sweden,2010,No,,,,,,,,,,,,,,,,,,,
EPB,Daniel Arribas-Bel,Associate Editor,Male,UK,2010,Yes,,,,,,,,,,,,,,,,,,,
GA,Daniel Arribas-Bel,Board,Male,UK,2010,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Jonathan Reades,Board,Male,UK,2010,Yes,,,,,,,,,,,,,,,,,,,
JTG,Kate Pangbourne,Associate Editor,Female,UK,2010,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Dani Aribas-Bel,Board,Male,UK,2010,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Elizabeth Mack,Board,Female,USA,2010,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Wenwen Li,Board,Female,USA,2010,Yes,,,,,,,,,,,,,,,,,,,
GA,Wenwen Li,Board,Female,USA,2010,Yes,,,,,,,,,,,,,,,,,,,
JTG,Bradley W. Lane,Board,Male,USA,2010,Yes,,,,,,,,,,,,,,,,,,,
PSP,Elin Charles-Edwards,Board,Female,Australia,2011,Yes,,,,,,,,,,,,,,,,,,,
JTG,Kobe Boussauw,Board,Male,Belgium,2011,No,,,,,,,,,,,,,,,,,,,
EPB,Long Ying,Board,Male,China,2011,No,,,,,,,,,,,,,,,,,,,
PSP,Nikola Sander,Board,Female,Netherlands,2011,No,,,,,,,,,,,,,,,,,,,
TGIS,James Cheshire,Board,Male,UK,2011,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Somayeh Dodge,Board,Female,USA,2011,Yes,,,,,,,,,,,,,,,,,,,
GA,Clio Andris,Board,Female,USA,2011,Yes,,,,,,,,,,,,,,,,,,,
GA,Somayeh Dodge,Board,Female,USA,2011,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Agnieszka Leszczynski,Board,Female,Canada,2012,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Sabine Storandt,Board,Female,Germany,2012,No,,,,,,,,,,,,,,,,,,,
JGS,Yee Leung,Board,Male,Hong Kong,2012,No,,,,,,,,,,,,,,,,,,,
CEUS,Alyssa Chamberlain,Board,Female,USA,2012,Yes,,,,,,,,,,,,,,,,,,,
GA,Elizabeth Delmelle,Board,Female,USA,2012,Yes,,,,,,,,,,,,,,,,,,,
JTG,Elizabeth Delmelle,Associate Editor,Female,USA,2012,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Xiaolei Ma,Board,Male,China,2013,No,,,,,,,,,,,,,,,,,,,
JTG,Angela Curl,Book,Female,New Zealand,2013,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Jing Yao,Board,Female,UK,2013,Yes,,,,,,,,,,,,,,,,,,,
JTG,Chia-Lin Chen,Board,Female,UK,2013,Yes,,,,,,,,,,,,,,,,,,,
JTG,Debbie Hopkins,Board,Female,UK,2013,Yes,,,,,,,,,,,,,,,,,,,
PSP,James Esson,Board,Male,UK,2013,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Cathy Liu,Board,Female,USA,2013,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Ran Wei,Board,Female,USA,2013,Yes,,,,,,,,,,,,,,,,,,,
PSP,Michael J Thomas,Board,Male,Netherlands,2014,No,,,,,,,,,,,,,,,,,,,
EPB,Guanpeng Dong,Board,Male,UK,2014,Yes,,,,,,,,,,,,,,,,,,,
EPB,Robin Lovelace,Board,Male,UK,2014,Yes,,,,,,,,,,,,,,,,,,,
JTG,Xing-Jian Liu,Board,Male,Hong Kong,2015,No,,,,,,,,,,,,,,,,,,,
JTG,Jonas De Vos,Board,Male,UK,2015,Yes,,,,,,,,,,,,,,,,,,,
PSP,Christiane Kuptsch,Board,Female,Switzerland,NA,No,,,,,,,,,,,,,,,,,,,
EPB,Sarah Williams,Associate Editor,Female,USA,NA,Yes,,,,,,,,,,,,,,,,,,,
