Journal,Name,Role,Gender,Country,Year of PhD,Anglophone Country,,,,,,,,,,,,,,,,,,,
IJGIS,Tapani Sarjakoski-Masala,Board,Male,Finland,1988,No,,,,,,,,,,,,,,,,,,,
JGS,Roger Bivand,Board,Male,Norway,1988,No,,,,,,,,,,,,,,,,,,,
PSP,Gunnar Malmberg,Board,Male,Sweden,1988,No,,,,,,,,,,,,,,,,,,,
CEUS,William Mackaness,Board,Male,UK,1988,Yes,,,,,,,,,,,,,,,,,,,
PSP,Emily Grundy,Board,Female,UK,1988,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Jean-Claude Thill,Board,Male,USA,1988,Yes,,,,,,,,,,,,,,,,,,,
GA,Janet Franklin,Board,Female,USA,1988,Yes,,,,,,,,,,,,,,,,,,,
GA,Suchi Gopal,Board,Female,USA,1988,Yes,,,,,,,,,,,,,,,,,,,
JTG,Mike Kuby,Board,Male,USA,1988,Yes,,,,,,,,,,,,,,,,,,,
PSP,Mark Ellis,Board,Male,USA,1988,Yes,,,,,,,,,,,,,,,,,,,
PSP,Adrian Bailey,Board,Male,Hong Kong,1989,No,,,,,,,,,,,,,,,,,,,
TGIS,Qiming Zhou,Associate Editor,Male,Hong Kong,1989,No,,,,,,,,,,,,,,,,,,,
GA,Chris Brunsdon,Board,Male,Ireland,1989,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Chris Brunsdon,Board,Male,Ireland,1989,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Chris Brunsdon,Board,Male,Ireland,1989,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Robert Weibel,Board,Male,Switzerland,1989,No,,,,,,,,,,,,,,,,,,,
TGIS,David Martin,Board,Male,UK,1989,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Piotr Jankowski,Board,Male,USA,1989,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Guonian Lü (Lv),Board,Male,China,1990,No,,,,,,,,,,,,,,,,,,,
